# SA_step mu sigma
889 0.71763056 0.59778594
890 0.71955306 0.58783911
891 0.71635037 0.59202049
892 0.71688699 0.58669051
893 0.71670341 0.58816746
894 0.71152009 0.58923003
895 0.70662527 0.59468741
896 0.70662527 0.59468741
897 0.70918766 0.60113247
898 0.71521889 0.60499013
899 0.71578135 0.60334417
900 0.72495795 0.60137870
901 0.72632771 0.60065629
902 0.73191359 0.59337848
903 0.72652869 0.58992993
904 0.72569623 0.58523823
905 0.72195229 0.58757642
906 0.72014566 0.59313346
907 0.72581576 0.59259697
908 0.73246850 0.59478318
909 0.73246850 0.59478318
910 0.74163256 0.58530449
911 0.75051950 0.58178460
912 0.75052731 0.57630292
913 0.75052731 0.57630292
914 0.74742410 0.57533419
915 0.74326772 0.57730732
916 0.75185045 0.57861600
917 0.75145778 0.58491546
918 0.75895880 0.59189681
919 0.75895880 0.59189681
920 0.75895880 0.59189681
921 0.76414024 0.58447170
922 0.76698182 0.58611729
923 0.77480857 0.59315337
924 0.77480857 0.59315337
925 0.77687142 0.60296299
926 0.77460403 0.60792503
927 0.78413197 0.60405750
928 0.78108843 0.61088438
929 0.78108843 0.61088438
930 0.79008730 0.60384327
931 0.79086683 0.60985262
932 0.79405453 0.61129351
933 0.78757106 0.62011001
934 0.77948306 0.62734964
935 0.77948306 0.62734964
936 0.78482559 0.61956778
937 0.79472297 0.61794590
938 0.79543798 0.61006527
939 0.80078434 0.61272636
940 0.79368205 0.60352168
941 0.79483614 0.60641953
942 0.78639719 0.60415406
943 0.78141213 0.60134225
944 0.78894459 0.60390512
945 0.79335124 0.59930601
946 0.79293164 0.59520270
947 0.78851727 0.60496609
948 0.78640142 0.59560967
949 0.78024807 0.59953621
950 0.78794287 0.60495573
951 0.78530456 0.60309706
952 0.78345947 0.61168878
953 0.78383301 0.60315230
954 0.78717032 0.60717915
955 0.79478519 0.60212162
956 0.79292504 0.60952371
957 0.79813958 0.60033517
958 0.79813958 0.60033517
959 0.80581335 0.59383850
960 0.80448220 0.59917856
961 0.81027118 0.60742064
962 0.80167668 0.60694297
963 0.80741581 0.61553062
964 0.81360869 0.61831190
965 0.81086204 0.62064016
966 0.82060505 0.62653313
967 0.82841110 0.62680260
968 0.83589420 0.63208476
969 0.84328662 0.63814560
970 0.84494581 0.63697222
971 0.84494581 0.63697222
972 0.85364512 0.62819004
973 0.85364512 0.62819004
974 0.85780594 0.62040488
975 0.85991282 0.62396857
976 0.85526883 0.63234219
977 0.84639185 0.62319511
978 0.84528536 0.62336389
979 0.85373775 0.63315779
980 0.85200917 0.63099421
981 0.85200917 0.63099421
982 0.85200917 0.63099421
983 0.84212747 0.63495474
984 0.84923634 0.62745902
985 0.84024591 0.62013855
986 0.84921947 0.61833915
987 0.85251536 0.62667438
988 0.85618036 0.62541840
989 0.86001845 0.63102947
990 0.86885519 0.63273944
991 0.87829699 0.62412257
992 0.88035140 0.62265048
993 0.88035140 0.62265048
